"Sample","sc-enriched","Ca A1","Ca B","Ca A2"
"S00094",0,0.0438021273727592,0.163749244731124,0.792448627896117
"S00118",0.129573720624318,0.317702481562321,0.543619841669338,0.00910395614402301
"S00128",0.0861464101507288,0.429312101810559,0.396561090099328,0.0879803979393843
"S00515",0.122329251743714,0.0838211900723619,0.0282545781857341,0.765594979998189
"S00516",0.109945009496934,0.0341701537486221,0,0.855884836754444
"S00520",0.101059633637262,0,0.796861863553515,0.102078502809223
"S00716_B",0.0751454743974322,0,0.899085797877012,0.0257687277255561
"S00858",0.0157721909287811,0.080690652365235,0.124305631251185,0.779231525454799
"S01060_B_TU",0,0.886692606037918,0,0.113307393962082
"S01103",0.00466009419399405,0.0692994575994851,0.095795301684491,0.83024514652203
"S01202",0,0.0120811457146618,0.908442865645638,0.0794759886397
"S01493",0.047967833497028,0.00468781259063786,0.713438723603045,0.233905630309289
"S01501",0.153947613721631,0.843851288309347,0,0.00220109796902215
"S01502",0.153231590711932,0.755996430640716,0.0708473698216419,0.0199246088257102
"S01504_B_TU",0.216165625409443,0.718064313105636,0.0657700614849212,0
"S01510",0,0.0802722243302975,0.890599595810918,0.0291281798587846
"S01513",0.564200060325481,0.164361397245192,0.199511781618673,0.0719267608106544
"S01515",0.238657153336277,0.431440636340352,0.108537954778451,0.22136425554492
"S01519",0,0.850568636386326,0.0788991145428682,0.0705322490708055
"S01520",0.18462942266364,0.657840480328843,0.0583860856109764,0.0991440113965407
"S01521",0.0491631588890279,0,0,0.950836841110972
"S01522",0.363542790111688,0.54127424774878,0.0951829621395322,0
"S01526",0.0591101551873129,0.0410609263561185,0,0.899828918456568
"S01528",0.000412599644956879,0.931978138117201,0.00878638876621546,0.0588228734716269
"S01529",0,0.0462190284234595,0.052828548340264,0.900952423236276
"S01531",0.106164723203683,0,0,0.893835276796317
"S01532",0.0016911930446637,0.056930674552606,0.0266945681855774,0.914683564217153
"S01536",0.00376538469605903,0.824048142977484,0.0302551473610817,0.141931324965375
"S01537",0.0608449013455834,0.0300663936299019,0.0445214949388862,0.864567210085628
"S01538",0.108389929730488,0.0267451143587678,0.0172810903590092,0.847583865551735
"S01539",0.0235767000871527,0.156764718317107,0.100842941429437,0.718815640166304
"S01540",0.142903633132088,0.74250372781801,0,0.114592639049902
"S01541",0.343732145676786,0.00500799211382175,0.0432790277081697,0.607980834501222
"S01543",0.149034381948412,0.623860125499183,0.0984707072159958,0.12863478533641
"S01545",0.102548405392656,0.780866728584634,0,0.11658486602271
"S01546",0.185639022785139,0,0.0948255694418962,0.719535407772965
"S01567",0.242935664130023,0.024698705758527,0.663356955426285,0.0690086746851651
"S01572",0.056672273076092,0.666465766190701,0.188718726823846,0.0881432339093607
"S01573",0.13256540808135,0.771589801696782,0.0447380124798629,0.0511067777420053
"S01576",0.162969131121856,0.338425830994316,0.198964524680106,0.299640513203722
"S01577",0.242239417907522,0.757760582092478,0,0
"S01582",0.139561972498291,0.0224238539913003,0.0360604013378863,0.801953772172523
"S01583",0.0443819823936336,0.145841021521121,0,0.809776996085245
"S01584",0.0463329240931256,0.0141216578593052,0,0.939545418047569
"S01585",0.143416057073575,0.0377786779944692,0,0.818805264931956
"S01590",0.116627777860385,0.561944582497818,0.0719425931483011,0.249485046493497
"S01593",0.022325803777693,0,0.0883604374121854,0.889313758810122
"S01605_B_TU",0.183961776731672,0.0129399030567607,0.0673088643446709,0.735789455866896
"S01666",0,0.0729741145531885,0.831216214969156,0.0958096704776559
"S01731",0.0279966967498394,0.080098533018727,0.222630158849847,0.669274611381587
"S01733",0.0418691645429422,0.609660088842029,0.030725739622296,0.317745006992733
"S01742",0.257367400032515,0.723753777874713,0,0.0188788220927715
"S01746",0.181571921957197,0.708036878382314,0.0343339533008075,0.0760572463596814
"S02126",0.0583436265562831,0.76928680438427,0.172369569059447,0
"S02154",0.17846186289711,0.449869199121665,0.0582299467889121,0.313438991192312
"S02162",0.270347367324822,0.609213061069051,0.108837530293806,0.0116020413123204
"S02323",0.17913802911446,0,0.796500297158924,0.024361673726616
"S02325",0,0,0.827255613753274,0.172744386246726
"S02326",0.0992041634260064,0,0.016480119929293,0.8843157166447
"S02327",0.131933739912807,0.744610880436547,0,0.123455379650646
"S02330",0.198187668780066,0.68128782962468,0.0673731034556639,0.0531513981395898
"S02331",0.118274110087254,0.77486051543753,0,0.106865374475216
"S02333",0,0.652237859926006,0.0851694339008183,0.262592706173175
"S02334",0.0200189285260224,0.0136187677171868,0,0.966362303756791
"S02335",0.092308453296476,0.728227198127334,0.0989701866566035,0.0804941619195864
"S02337",0.175801691047726,0.724875375965198,0.0218194495425245,0.0775034834445514
"S02338",0.0384878759711478,0.0779867160799884,0.00342122946362197,0.880104178485242
"S02339",0.242669122213573,0,0,0.757330877786427
"S02340",0.312370435978556,0.402563616785312,0.268015308221563,0.017050639014568
"SRR10720229",0.504066908627768,0.424657629103334,0.0712754622688974,0
"SRR10720231",0,0,0.875179602583298,0.124820397416702
