sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
LNEN216_TU	0.317521656538443	0.610524796937152	0.0591107453555591	0.0128428011688463	Ca A1
LNEN217_TU	0.726817148966038	0.048281218665465	0	0.224901632368497	sc-enriched
LNEN218_TU	0.297689610818016	0.0518248927999417	0.650485496382042	0	Ca B
LNEN219_TU	0.304363852727428	0.634215103314461	0.0614210439581114	0	Ca A1
LNEN220_TU	0.306324081349071	0.621039888908774	0.0486514322509598	0.0239845974911954	Ca A1
LNEN221_TU	0	0.873688280675508	0.0557978181338788	0.0705139011906136	Ca A1
LNEN223_TU	0.197547742460871	0.708603245908851	0.0359940994552746	0.0578549121750028	Ca A1
LNEN224_TU	0.160232797244966	0.106851765562721	0.0720862916683617	0.660829145523951	Ca A2
LNEN225_TU	0.0618335966411146	0.503110647070129	0.128480509174167	0.30657524711459	Ca A1
LNEN226_TU	0.114747740455912	0.0156161708006444	0	0.869636088743444	Ca A2
LNEN227_TU	0.112144966671169	0.0836459628339503	0.0411704154930996	0.763038655001781	Ca A2
LNEN228_TU	0.253727544317307	0.0364646277666722	0.0340951689024606	0.675712659013561	Ca A2
LNEN229_TU	0.202114192301406	0.00737345876402705	0.790512348934567	0	Ca B
LNEN230_TU	0.255792797207614	0.136103016040827	0.0341434694918447	0.573960717259714	Ca A2
LNEN231_TU	0.290740141119335	0.624670055739832	0.0845898031408326	0	Ca A1
LNEN232_TU	0.113138497374422	0.641758089977044	0.0341221359483581	0.210981276700176	Ca A1
LNEN233_TU	0.177569549126205	0.720993798541337	0.0786991944742247	0.0227374578582331	Ca A1
LNEN234_TU	0.254598067510035	0.646867947705951	0.0718081506714162	0.0267258341125969	Ca A1
LNEN235_TU	0.182375715630229	0	0.0890790249303825	0.728545259439388	Ca A2
LNEN236_TU	0.153648893264394	0.710097734811789	0.012691925386972	0.123561446536845	Ca A1
LNEN237_TU	0.194071017844599	0.0245951506350733	0.749902550710972	0.0314312808093567	Ca B
LNEN238_TU	0.272211781300969	0.374658196142631	0.283397343986163	0.0697326785702368	Ca A1
LNEN239_TU	0.12924584380193	0.000117042291792513	0.844252872204493	0.0263842417017845	Ca B
LNEN240_TU	0.304872997508837	0	0.662226547882358	0.0329004546088049	Ca B
LNEN241_TU	0.379350062305262	0.0518266838605405	0.0322387412391239	0.536584512595074	Ca A2
LNEN243_TU	0.108882963375405	0	0.0619669104930296	0.829150126131565	Ca A2
LNEN244_TU	0.258729986708306	0.100829538813645	0.032252326107735	0.608188148370314	Ca A2
LNEN245_TU	0.0694145190507701	0.0782013743654426	0.0390802635287383	0.813303843055049	Ca A2
LNEN246_TU	0	0	0.108662536139061	0.891337463860939	Ca A2
LNEN247_TU	0.0952429818869451	0.0346155696584118	0.00834017522597686	0.861801273228666	Ca A2
LNEN248_TU	0.138147348491443	0.0915685343612394	0	0.770284117147317	Ca A2
LNEN249_TU	0.237258736957462	0.678368821152374	0.0520196863727841	0.0323527555173798	Ca A1
LNEN250_TU	0.220236522222295	0.0584834969477164	0.149682162189629	0.571597818640359	Ca A2
LNEN251_TU1	0	0.0553134595112113	0.915490244674741	0.029196295814048	Ca B
LNEN252_TU	0.060865667132083	0.0323582356299052	0.906776097238012	0	Ca B
LNEN253_TU	0.323771973361204	0.0720749598058121	0.0846037589850507	0.519549307847934	Ca A2
LNEN255_TU	0.0860175549605433	0.747421676218394	0.165919800600958	0.000640968220105339	Ca A1
LNEN258_TU	0.0740022143652609	0.0795552699386338	0.846442515696105	0	Ca B
LNEN263_TU	0.0360569001531929	0.0559981615664876	0.0145296418182712	0.893415296462048	Ca A2
LNEN268_TU	0.0705260405319548	0.000971936269502101	0.0235081303551333	0.90499389284341	Ca A2
LNEN269_TU	0.179849349493662	0.770333709629477	0.0463955308708259	0.00342141000603531	Ca A1
LNEN270_TU	0.115677439897905	0.0162837441898339	0.0168348098719097	0.851204006040352	Ca A2
LNEN272_TU	0.0386240266683578	0.817416144586281	0.0671624346546988	0.0767973940906623	Ca A1
LNEN273_TU	0.123845778966197	0.687887704913573	0.00626503856379799	0.182001477556432	Ca A1
LNEN274_TU	0.242783233306772	0	0.713284318739061	0.043932447954167	Ca B
LNEN276_TU	0.199426187054273	0.770197761422794	0.0286308097705472	0.00174524175238656	Ca A1
LNEN277_TU	0.219843886897286	0.101070991405142	0.631865042429379	0.0472200792681926	Ca B
LNEN278s1_TU1	0.969560995517025	0	0.0304390044829746	0	sc-enriched
LNET10T	0.63812151082041	0.0534715108846626	0.128760941185784	0.179646037109144	sc-enriched
